Session ID,Assistant,Channel,Visitor name,Ended Reason,Success Evaluation,Start Time,Duration,Cost
"room_9010","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:56 PM","1s","$0.00"
"room_9021","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:55 PM","2s","$0.00"
"room_570","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:55 PM","0s","$0.00"
"room_1653","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:53 PM","1s","$0.00"
"room_9387","Amit's Assistant","web","—","Session abandoned","NA","Jul 10, 2026, 2:53 PM","1s","$0.00"
"room_671","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","1s","$0.00"
"room_48","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","19s","$0.04"
"room_9766","Amit's Assistant","web","—","Session completed","NA","Jul 10, 2026, 2:52 PM","1s","$0.00"
"room_1776","testing kb local","web","—","Session completed","pass","Jul 10, 2026, 12:39 PM","46s","$0.09"
"room_7093","testing kb local","web","—","Session completed","pass","Jul 10, 2026, 12:38 PM","49s","$0.09"
"room_6481","English Expert - Lia","web","—","Session completed","NA","Jul 9, 2026, 2:48 PM","2s","$0.00"
"room_6200","English Expert - Lia","web","—","Session abandoned","NA","Jul 9, 2026, 2:47 PM","14s","$0.00"
"room_2408","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:26 PM","2s","$0.00"
"room_7882","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:25 PM","11s","$0.00"
"room_3103","abcd testing 5678","web","—","Session abandoned","NA","Jul 9, 2026, 2:24 PM","1s","$0.00"
"room_2115","abcd testing 5678","web","—","Session completed","NA","Jul 9, 2026, 2:24 PM","2s","$0.00"
"room_5820","abcd testing 5678","web","—","Session completed","NA","Jul 9, 2026, 2:23 PM","18s","$0.00"
"room_9516","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:22 PM","36s","$0.00"
"room_8862","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:21 PM","12s","$0.00"
"room_8262","testing kb local","web","—","Session completed","pass","Jul 9, 2026, 2:19 PM","2s","$0.00"
"room_8728","testing kb local","web","—","Session abandoned","fail","Jul 9, 2026, 2:18 PM","37s","$0.00"
"room_5562","testing kb local","web","—","Session completed","pass","Jul 7, 2026, 11:26 AM","1s","$0.00"
"room_7665","testing kb local","web","—","Session active","fail","Jul 7, 2026, 11:24 AM","0s","$0.00"
"room_5247","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:54 PM","3s","$0.00"
"room_644","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:52 PM","1m 52s","$0.00"
"room_4859","testing kb local","web","—","Session abandoned","fail","Jul 6, 2026, 3:52 PM","1s","$0.00"
"room_853","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 3:52 PM","2s","$0.00"
"room_9979","testing kb local","web","—","Session active","fail","Jul 6, 2026, 3:51 PM","0s","$0.00"
"room_3597","testing kb local","web","—","Session active","fail","Jul 6, 2026, 3:51 PM","0s","$0.00"
"room_9312","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 2:24 PM","1s","$0.00"
"room_3136","testing kb local","web","—","Session active","fail","Jul 6, 2026, 2:23 PM","0s","$0.00"
"room_2491","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:52 PM","2s","$0.00"
"room_4934","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:50 PM","1m 56s","$0.00"
"room_4526","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:46 PM","1s","$0.00"
"room_7967","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:41 PM","0s","$0.00"
"room_1309","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:30 PM","2s","$0.00"
"room_9929","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:30 PM","1m 20s","$0.00"
"room_2893","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:28 PM","38s","$0.00"
"room_9120","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:26 PM","19s","$0.00"
"room_9841","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:25 PM","0s","$0.00"
"room_5130","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:11 PM","1s","$0.00"
"room_3419","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:10 PM","15s","$0.03"
"room_6874","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:10 PM","1s","$0.00"
"room_4504","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:09 PM","0s","$0.00"
"room_6581","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 12:05 PM","1s","$0.00"
"room_845","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:05 PM","0s","$0.00"
"room_2447","testing kb local","web","—","Session active","fail","Jul 6, 2026, 12:05 PM","0s","$0.00"
"room_4422","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:58 AM","2s","$0.00"
"room_4533","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:57 AM","1m 5s","$0.00"
"room_4045","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:52 AM","2s","$0.00"
"room_6565","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:48 AM","2s","$0.00"
"room_5337","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:47 AM","0s","$0.00"
"room_6572","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:28 AM","1s","$0.00"
"room_689","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:26 AM","2s","$0.00"
"room_4949","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:26 AM","0s","$0.00"
"room_9436","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:26 AM","1s","$0.00"
"room_8248","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:26 AM","0s","$0.00"
"room_8244","testing kb local","web","—","Session completed","pass","Jul 6, 2026, 11:24 AM","1s","$0.00"
"room_7817","testing kb local","web","—","Session active","fail","Jul 6, 2026, 11:23 AM","0s","$0.00"
"room_384","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:57 PM","1s","$0.00"
"room_1569","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:57 PM","38s","$0.00"
"room_3919","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:56 PM","1s","$0.00"
"room_2005","Test Emma","web","—","Session abandoned","NA","Jul 3, 2026, 3:56 PM","1s","$0.00"
"room_28","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:56 PM","39s","$0.00"
"room_145","Test Emma","web","—","Session completed","NA","Jul 3, 2026, 3:55 PM","1s","$0.00"
"room_7975","Test Emma","web","—","Session abandoned","NA","Jul 3, 2026, 3:55 PM","1s","$0.00"
"room_8460","Test Emma","web","—","Session active","NA","Jul 3, 2026, 3:53 PM","0s","$0.00"
"room_8774","testing kb local","web","—","Session abandoned","fail","Jul 3, 2026, 2:53 PM","1s","$0.00"
"room_5140","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:52 PM","1m 26s","$0.00"
"room_8148","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:51 PM","1s","$0.00"
"room_1252","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:51 PM","2s","$0.00"
"room_493","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:51 PM","1s","$0.00"
"room_5296","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:45 PM","2s","$0.00"
"room_527","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:45 PM","2s","$0.00"
"room_5597","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:45 PM","1s","$0.00"
"room_5777","testing kb local","web","—","Session abandoned","fail","Jul 3, 2026, 2:41 PM","0s","$0.00"
"room_9653","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:39 PM","1s","$0.00"
"room_330","Test Demo","web","—","Session completed","NA","Jul 3, 2026, 2:39 PM","1s","$0.00"
"room_4654","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:35 PM","1s","$0.00"
"room_2184","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:35 PM","1s","$0.00"
"room_1717","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:34 PM","1s","$0.00"
"room_4174","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:34 PM","1s","$0.00"
"room_4890","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:34 PM","1s","$0.00"
"room_4036","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:34 PM","1s","$0.00"
"room_6243","Test Demo","web","—","Session completed","NA","Jul 3, 2026, 2:34 PM","1s","$0.00"
"room_3260","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:32 PM","2s","$0.00"
"room_341","testing kb local","web","—","Session abandoned","fail","Jul 3, 2026, 2:31 PM","1s","$0.00"
"room_5557","testing kb local","web","—","Session abandoned","fail","Jul 3, 2026, 2:31 PM","1s","$0.00"
"room_5028","testing kb local","web","—","Session abandoned","fail","Jul 3, 2026, 2:30 PM","0s","$0.00"
"room_2006","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:30 PM","1s","$0.00"
"room_9359","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:21 PM","1s","$0.00"
"room_3582","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:21 PM","2s","$0.00"
"room_8382","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:21 PM","2s","$0.00"
"room_5209","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:20 PM","1s","$0.00"
"room_8458","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:20 PM","1s","$0.00"
"room_3799","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:20 PM","2s","$0.00"
"room_5306","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:20 PM","1s","$0.00"
"room_6459","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 2:19 PM","1s","$0.00"
"room_8153","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 12:37 PM","1s","$0.00"
"room_6031","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 12:36 PM","1m 6s","$0.00"
"room_4737","testing kb local","web","—","Session completed","pass","Jul 3, 2026, 12:13 PM","38s","$0.00"
"room_8208","Test Demo","web","—","Session abandoned","NA","Jul 3, 2026, 12:09 PM","0s","$0.00"
"room_8626","Test Demo","web","—","Session completed","NA","Jul 3, 2026, 12:09 PM","3s","$0.00"
"room_3708","Test Demo","web","—","Session abandoned","NA","Jul 3, 2026, 12:09 PM","1s","$0.00"
"room_7259","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 3:29 PM","19s","$0.00"
"room_9976","testing kb local","web","—","Session active","fail","Jul 2, 2026, 3:28 PM","0s","$0.00"
"room_328","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 3:20 PM","1s","$0.00"
"room_9889","testing kb local","web","—","Session active","fail","Jul 2, 2026, 3:19 PM","0s","$0.00"
"room_501","testing kb local","web","—","Session active","fail","Jul 2, 2026, 3:12 PM","0s","$0.00"
"room_2587","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 3:05 PM","1s","$0.00"
"room_4375","testing kb local","web","—","Session active","fail","Jul 2, 2026, 3:04 PM","0s","$0.00"
"room_1773","Ravi","web","—","Session completed","NA","Jul 2, 2026, 12:35 PM","2s","$0.00"
"room_4107","Ravi","web","—","Session active","NA","Jul 2, 2026, 12:34 PM","0s","$0.00"
"room_8974","Ravi","web","—","Session completed","NA","Jul 2, 2026, 12:33 PM","1s","$0.00"
"room_851","Ravi","web","—","Session active","NA","Jul 2, 2026, 12:33 PM","0s","$0.00"
"room_8755","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:31 PM","2s","$0.00"
"room_4581","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:30 PM","1s","$0.00"
"room_2753","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:29 PM","3s","$0.00"
"room_9195","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:28 PM","0s","$0.00"
"room_1594","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:27 PM","2s","$0.00"
"room_6902","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:25 PM","0s","$0.00"
"room_787","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:18 PM","1s","$0.00"
"room_2230","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:17 PM","0s","$0.00"
"room_1869","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:12 PM","1s","$0.00"
"room_1560","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:11 PM","0s","$0.00"
"room_3778","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:10 PM","0s","$0.00"
"room_6257","testing kb local","web","—","Session abandoned","fail","Jul 2, 2026, 12:09 PM","1s","$0.00"
"room_8420","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:09 PM","0s","$0.00"
"room_9045","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 12:03 PM","20s","$0.00"
"room_2896","testing kb local","web","—","Session active","fail","Jul 2, 2026, 12:02 PM","0s","$0.00"
"room_1055","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 11:57 AM","1s","$0.00"
"room_8901","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 11:51 AM","17s","$0.00"
"room_8875","testing kb local","web","—","Session active","fail","Jul 2, 2026, 11:50 AM","0s","$0.00"
"room_8506","testing kb local","web","—","Session completed","pass","Jul 2, 2026, 11:49 AM","2s","$0.00"
"room_4548","testing kb local","web","—","Session active","fail","Jul 2, 2026, 11:48 AM","0s","$0.00"
"room_8133","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 4:23 PM","2s","$0.00"
"room_7390","testing kb local","web","—","Session active","fail","Jul 1, 2026, 4:23 PM","0s","$0.00"
"room_9801","testing file","web","—","Session abandoned","NA","Jul 1, 2026, 2:01 PM","0s","$0.00"
"room_1380","testing file","web","—","Session completed","NA","Jul 1, 2026, 2:00 PM","3s","$0.00"
"room_6264","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 2:00 PM","2s","$0.00"
"room_783","testing kb local","web","—","Session active","fail","Jul 1, 2026, 1:59 PM","0s","$0.00"
"room_6908","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 1:47 PM","1s","$0.00"
"room_6771","testing kb local","web","—","Session active","fail","Jul 1, 2026, 1:46 PM","0s","$0.00"
"room_6425","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 1:45 PM","3s","$0.00"
"room_1535","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 1:45 PM","1s","$0.00"
"room_3770","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 1:45 PM","1s","$0.00"
"room_9239","testing kb local","web","—","Session active","fail","Jul 1, 2026, 1:44 PM","0s","$0.00"
"room_2811","testing kb local","web","—","Session active","fail","Jul 1, 2026, 1:44 PM","0s","$0.00"
"room_3250","testing kb local","web","—","Session abandoned","fail","Jul 1, 2026, 1:41 PM","1s","$0.00"
"room_4506","testing kb local","web","—","Session active","fail","Jul 1, 2026, 1:41 PM","0s","$0.00"
"room_1846","testing kb local","web","—","Session abandoned","fail","Jul 1, 2026, 1:39 PM","0s","$0.00"
"room_7998","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 1:39 PM","1s","$0.00"
"room_4716","abcd testing 5678","web","—","Session completed","NA","Jul 1, 2026, 1:38 PM","1s","$0.00"
"room_3385","abcd testing 5678","web","—","Session active","NA","Jul 1, 2026, 1:38 PM","0s","$0.00"
"room_2181","abcd testing 5678","web","—","Session completed","NA","Jul 1, 2026, 1:35 PM","1s","$0.00"
"room_1049","abcd testing 5678","web","—","Session completed","NA","Jul 1, 2026, 1:35 PM","2s","$0.00"
"room_2501","abcd testing 5678","web","—","Session active","NA","Jul 1, 2026, 1:34 PM","0s","$0.00"
"room_9957","abcd testing 5678","web","—","Session abandoned","NA","Jul 1, 2026, 1:32 PM","0s","$0.00"
"room_7668","abcd testing 5678","web","—","Session active","NA","Jul 1, 2026, 1:32 PM","0s","$0.00"
"room_3273","testing kb local","web","—","Session completed","pass","Jul 1, 2026, 9:43 AM","2s","$0.00"
"room_3268","testing kb local","web","—","Session active","fail","Jul 1, 2026, 9:41 AM","0s","$0.00"
"room_1725","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 2:39 PM","2s","$0.00"
"room_3460","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 1:26 PM","2s","$0.00"
"room_1899","testing kb local","web","—","Session active","fail","Jun 30, 2026, 1:24 PM","0s","$0.00"
"room_1866","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:48 PM","1s","$0.00"
"room_4974","testing kb local","web","—","Session abandoned","fail","Jun 30, 2026, 12:42 PM","1s","$0.00"
"room_2813","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:41 PM","1s","$0.00"
"room_1654","testing kb local","web","—","Session active","fail","Jun 30, 2026, 12:41 PM","0s","$0.00"
"room_6682","testing kb local","web","—","Session abandoned","fail","Jun 30, 2026, 12:40 PM","0s","$0.00"
"room_9737","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:40 PM","1s","$0.00"
"room_949","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:38 PM","1s","$0.00"
"room_9044","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:38 PM","2s","$0.00"
"room_2498","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:31 PM","1s","$0.00"
"room_208","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:31 PM","1s","$0.00"
"room_5203","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:27 PM","1s","$0.00"
"room_1620","testing kb local","web","—","Session completed","pass","Jun 30, 2026, 12:27 PM","1s","$0.00"
"room_3644","abcd testing 5678","web","—","Session active","NA","Jun 30, 2026, 12:26 PM","0s","$0.00"
"room_7947","abcd testing 5678","web","—","Session abandoned","NA","Jun 30, 2026, 12:25 PM","1s","$0.00"
"room_9531","Test Demo","web","—","Session abandoned","NA","Jun 26, 2026, 3:23 PM","0s","$0.00"
"room_4884","Test Demo","web","—","Session completed","NA","Jun 26, 2026, 3:23 PM","1s","$0.00"
"room_9305","Test Demo","web","—","Session completed","NA","Jun 26, 2026, 3:23 PM","1s","$0.00"
"room_2134","testing kb for different assistant","web","—","Session abandoned","NA","Jun 22, 2026, 3:00 PM","5s","$0.00"
"room_2965","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 3:00 PM","6s","$0.00"
"room_5694","testing kb local","web","—","Session active","fail","Jun 22, 2026, 2:13 PM","0s","$0.00"
"room_9467","testing kb local","web","—","Session abandoned","fail","Jun 22, 2026, 2:13 PM","1s","$0.00"
"room_83","testing kb local","web","—","Session active","fail","Jun 22, 2026, 2:13 PM","0s","$0.00"
"room_5110","Test Demo","web","—","Session abandoned","NA","Jun 22, 2026, 2:12 PM","0s","$0.00"
"room_6875","Test Demo","web","—","Session completed","NA","Jun 22, 2026, 2:11 PM","1s","$0.00"
"room_6506","testing kb for different assistant","web","—","Session abandoned","NA","Jun 22, 2026, 2:08 PM","5s","$0.00"
"room_2376","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 2:08 PM","6s","$0.00"
"room_8405","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 2:02 PM","6s","$0.00"
"room_1170","testing kb for different assistant","web","—","Session abandoned","NA","Jun 22, 2026, 1:56 PM","1s","$0.00"
"room_4784","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 1:56 PM","1s","$0.00"
"room_241","testing kb for different assistant","web","—","Session active","NA","Jun 22, 2026, 1:55 PM","0s","$0.00"
"room_5555","testing kb for different assistant","web","—","Session active","NA","Jun 22, 2026, 1:51 PM","0s","$0.00"
"room_3573","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 1:42 PM","44s","$0.00"
"room_5737","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 12:16 PM","58s","$0.00"
"room_7533","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 12:11 PM","35s","$0.00"
"room_5211","testing kb for different assistant","web","—","Session active","NA","Jun 22, 2026, 12:10 PM","0s","$0.00"
"room_4015","testing kb for different assistant","web","—","Session abandoned","NA","Jun 22, 2026, 12:09 PM","1s","$0.00"
"room_3063","testing kb for different assistant","web","—","Session abandoned","NA","Jun 22, 2026, 12:09 PM","3s","$0.00"
"room_9129","testing kb for different assistant","web","—","Session completed","NA","Jun 22, 2026, 12:08 PM","53s","$0.00"
"room_7032","testing thumbnail","web","—","Session active","NA","Jun 22, 2026, 11:25 AM","0s","$0.00"
"room_3243","abcd testing 5678","web","—","Session abandoned","NA","Jun 22, 2026, 11:10 AM","1s","$0.00"
"room_7923","abcd testing 5678","web","—","Session completed","NA","Jun 22, 2026, 11:10 AM","21s","$0.00"
"room_6817","Thrifty Avatar","web","—","Session completed","pass","Jun 19, 2026, 2:19 PM","1s","$0.00"
"room_1449","Thrifty Avatar","web","—","Session active","fail","Jun 19, 2026, 2:18 PM","0s","$0.00"
"room_9499","testing kb for different assistant","web","—","Session completed","NA","Jun 19, 2026, 1:29 PM","1s","$0.00"
"room_4720","testing kb for different assistant","web","—","Session active","NA","Jun 19, 2026, 1:28 PM","0s","$0.00"
"room_9908","testing kb for different assistant","web","—","Session completed","NA","Jun 19, 2026, 11:07 AM","1s","$0.00"
"room_1342","testing kb for different assistant","web","—","Session active","NA","Jun 19, 2026, 11:05 AM","0s","$0.00"
"room_5031","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 4:05 PM","1s","$0.00"
"room_5166","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 4:04 PM","30s","$0.00"
"room_5354","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 4:03 PM","1s","$0.00"
"room_1487","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 4:02 PM","4s","$0.00"
"room_4159","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 4:01 PM","0s","$0.00"
"room_4697","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:58 PM","0s","$0.00"
"room_3464","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 3:57 PM","1s","$0.00"
"room_9390","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:57 PM","0s","$0.00"
"room_5485","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:56 PM","0s","$0.00"
"room_1090","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 3:55 PM","1s","$0.00"
"room_1489","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 3:55 PM","1s","$0.00"
"room_3841","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:55 PM","0s","$0.00"
"room_4385","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:55 PM","0s","$0.00"
"room_5148","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:43 PM","0s","$0.00"
"room_5928","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 3:41 PM","2s","$0.00"
"room_4142","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:39 PM","0s","$0.00"
"room_999","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 3:37 PM","4s","$0.00"
"room_959","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:36 PM","0s","$0.00"
"room_2056","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 3:04 PM","1s","$0.00"
"room_4960","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 3:03 PM","0s","$0.00"
"room_7086","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 2:53 PM","2s","$0.00"
"room_3615","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 2:52 PM","0s","$0.00"
"room_6366","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 1:32 PM","16s","$0.00"
"room_5134","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 12:29 PM","3s","$0.00"
"room_6367","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:28 PM","0s","$0.00"
"room_6279","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 12:04 PM","15s","$0.00"
"room_2059","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:03 PM","0s","$0.00"
"room_2210","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:02 PM","0s","$0.00"
"room_1438","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 12:01 PM","1s","$0.00"
"room_8368","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 12:00 PM","1s","$0.00"
"room_1830","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 12:00 PM","1s","$0.00"
"room_6420","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:00 PM","0s","$0.00"
"room_6328","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 12:00 PM","1s","$0.00"
"room_4070","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:00 PM","0s","$0.00"
"room_3400","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 12:00 PM","0s","$0.00"
"room_7554","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 11:42 AM","1s","$0.00"
"room_73","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 11:41 AM","1m 16s","$0.00"
"room_6147","testing kb for different assistant","web","—","Session abandoned","NA","Jun 18, 2026, 11:38 AM","1s","$0.00"
"room_3627","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 11:37 AM","0s","$0.00"
"room_6224","testing kb for different assistant","web","—","Session completed","NA","Jun 18, 2026, 11:25 AM","2s","$0.00"
"room_9945","testing kb for different assistant","web","—","Session active","NA","Jun 18, 2026, 11:25 AM","0s","$0.00"
"room_6450","testing kb for different assistant","web","—","Session abandoned","NA","Jun 17, 2026, 4:31 PM","3s","$0.00"
"room_7642","testing kb for different assistant","web","—","Session active","NA","Jun 17, 2026, 4:30 PM","0s","$0.00"
"room_2919","testing kb for different assistant","web","—","Session completed","NA","Jun 17, 2026, 2:44 PM","2m 7s","$0.00"
"room_4615","testing kb for different assistant","web","—","Session completed","NA","Jun 17, 2026, 2:32 PM","10s","$0.00"
"room_2425","testing kb for different assistant","web","—","Session active","NA","Jun 17, 2026, 2:30 PM","0s","$0.00"
"room_9234","testing kb for different assistant","web","—","Session active","NA","Jun 17, 2026, 2:06 PM","0s","$0.00"
"room_2464","testing kb for different assistant","web","—","Session abandoned","NA","Jun 17, 2026, 2:05 PM","4s","$0.00"
"room_2361","Test Demo","web","—","Session abandoned","NA","Jun 17, 2026, 1:49 PM","1s","$0.00"
"room_7618","Test Demo","web","—","Session completed","NA","Jun 17, 2026, 1:49 PM","2s","$0.00"
"room_1702","testing kb local","web","—","Session completed","pass","Jun 11, 2026, 11:02 AM","2s","$0.00"
"room_4558","testing kb local","web","—","Session active","fail","Jun 11, 2026, 11:00 AM","0s","$0.00"